Comoound,x(BiMe1Me2)O3,Me1,Me2,Me3,frac-Me1,frac-Me2,frac-Me3,PT-content,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number,Formability
BF,0.8,Fe,Fe,Ti,0.5,0.5,0,0.2,0.9710,12.0000,3.8040,3.8614,137.6000,Yes
BF,0.9,Fe,Fe,Ti,0.5,0.5,0,0.1,0.9640,12.5000,3.8070,3.8532,139.3000,Yes
Bi(MgTi),0.62,Mg,Ti,Ti,0.5,0.5,0,0.38,0.9785,8.0000,3.7459,3.8780,134.8500,Yes
Bi(MgTi),0.6,Mg,Ti,Ti,0.5,0.5,0,0.4,0.9801,8.0000,3.7470,3.8796,134.5000,Yes
Bi(MgTi),0.58,Mg,Ti,Ti,0.5,0.5,0,0.42,0.9817,8.0000,3.7481,3.8812,134.1500,Yes
Bi(MgTi),0.64,Mg,Ti,Ti,0.5,0.5,0,0.36,0.9769,8.0000,3.7448,3.8764,135.2000,Yes
Bi(MgTi),0.63,Mg,Ti,Ti,0.5,0.5,0,0.37,0.9777,8.0000,3.7454,3.8772,135.0250,Yes
BiYb,0.05,Yb,Yb,Ti,0.5,0.5,0,0.95,1.0189,8.0000,3.7530,3.9331,124.0500,Yes
BiYb,0.1,Yb,Yb,Ti,0.5,0.5,0,0.9,1.0106,8.0000,3.7260,3.9391,124.1000,No
BiYb,0.15,Yb,Yb,Ti,0.5,0.5,0,0.85,1.0022,8.0000,3.6990,3.9452,124.1500,No
BiYb,0.2,Yb,Yb,Ti,0.5,0.5,0,0.8,0.9939,8.0000,3.6720,3.9512,124.2000,No
BiYb,0.3,Yb,Yb,Ti,0.5,0.5,0,0.7,0.9773,8.0000,3.6180,3.9633,124.3000,No
BiYb,0.4,Yb,Yb,Ti,0.5,0.5,0,0.6,0.9606,8.0000,3.5640,3.9754,124.4000,No
BiYb,0.5,Yb,Yb,Ti,0.5,0.5,0,0.5,0.9440,8.0000,3.5100,3.9875,124.5000,No
